           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.601773  0.669504  0.635727  0.665248  0.677837  0.669415  0.652660
1     0.593174  0.664982  0.635461  0.639716  0.677926  0.669504  0.694770
2     0.589007  0.648582  0.635816  0.648582  0.648582  0.602128  0.644326
3     0.605940  0.678280  0.627128  0.657004  0.669858  0.657181  0.690957
4     0.635638  0.665514  0.639716  0.682535  0.682358  0.673759  0.678103
5     0.614450  0.627482  0.618883  0.640071  0.635993  0.627394  0.644326
6     0.589007  0.635816  0.635550  0.665603  0.681915  0.656826  0.660904
7     0.635727  0.652660  0.635550  0.661170  0.656826  0.652571  0.686525
8     0.618617  0.677837  0.639982  0.644060  0.648050  0.652216  0.644060
9     0.618794  0.635727  0.627039  0.618794  0.643883  0.643972  0.644149
10    0.606117  0.639805  0.635727  0.639982  0.660993  0.648316  0.669770
mean  0.609840  0.654199  0.633325  0.651161  0.662202  0.650298  0.664595
           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.046967  0.057603  0.707922  2.957541  0.115508  0.109881  0.465753
1     0.040540  0.042357  0.662397  2.854684  0.176225  0.109774  0.363882
2     0.041586  0.045394  0.699850  2.731493  0.128120  0.152084  0.453693
3     0.053643  0.058845  0.748370  2.320721  0.108411  0.110114  0.469301
4     0.043428  0.052395  0.763847  2.761548  0.107047  0.106663  0.498464
5     0.047179  0.051842  0.713047  2.793164  0.188044  0.201724  0.371233
6     0.048148  0.051637  0.666935  2.363445  0.151125  0.171556  0.433124
7     0.034752  0.041556  0.654024  2.490806  0.181465  0.106378  0.418071
8     0.034460  0.047292  0.770519  2.408910  0.107244  0.106620  0.454151
9     0.057582  0.044267  0.667394  2.423491  0.136974  0.107067  0.457823
10    0.059014  0.040493  0.667240  3.097862  0.168951  0.112966  0.438468
mean  0.046118  0.048517  0.701959  2.654879  0.142647  0.126803  0.438542
