           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.472494  0.656320  0.531498  0.649902  0.624929  0.655052  0.628806
1     0.497736  0.603334  0.509111  0.616590  0.611991  0.617520  0.607678
2     0.498534  0.627642  0.525930  0.626816  0.612349  0.634601  0.602332
3     0.495428  0.644509  0.532184  0.621022  0.628877  0.644482  0.639940
4     0.491751  0.614592  0.538750  0.625593  0.615379  0.612702  0.612616
5     0.516726  0.612847  0.551839  0.634404  0.627410  0.635564  0.615644
6     0.490492  0.627078  0.547577  0.617033  0.628395  0.628165  0.621938
7     0.487185  0.652417  0.534817  0.643244  0.634751  0.654331  0.661254
8     0.484580  0.611762  0.556531  0.607903  0.603655  0.620427  0.617899
9     0.519121  0.615394  0.545216  0.633132  0.631439  0.623462  0.619081
10    0.535143  0.600837  0.531570  0.599173  0.608958  0.628788  0.615013
mean  0.499017  0.624248  0.536820  0.624983  0.620739  0.632281  0.622018
           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.049266  0.054532  0.731217  2.831574  0.125416  0.120957  0.491336
1     0.067560  0.043129  0.673316  3.095348  0.118245  0.118872  0.530270
2     0.039538  0.044205  0.686556  2.529093  0.115863  0.115366  0.559767
3     0.036233  0.041033  0.629933  2.476065  0.118115  0.116364  0.468345
4     0.089187  0.042548  0.650431  2.360603  0.115184  0.115118  0.457962
5     0.103116  0.047173  0.635989  2.353785  0.116166  0.114261  0.470315
6     0.091018  0.042159  0.635388  2.374498  0.147893  0.115536  0.464245
7     0.069720  0.041418  0.636469  2.348519  0.117115  0.116285  0.464981
8     0.093156  0.043154  0.641216  2.243763  0.117928  0.121906  0.528014
9     0.047811  0.058209  0.668934  2.352112  0.117976  0.116870  0.461086
10    0.094626  0.042443  0.626324  2.314742  0.118276  0.116479  0.457575
mean  0.071021  0.045455  0.655979  2.480009  0.120743  0.117092  0.486718
