           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.648316  0.656826  0.622961  0.652482  0.601684  0.652660  0.622961
1     0.652837  0.665248  0.635550  0.665071  0.597606  0.635550  0.635638
2     0.640071  0.661259  0.622961  0.644238  0.593262  0.678014  0.622872
3     0.614450  0.682270  0.631472  0.673582  0.597429  0.627216  0.618706
4     0.648404  0.661259  0.631383  0.661170  0.606028  0.644149  0.606117
5     0.644060  0.652660  0.622961  0.635461  0.614539  0.635195  0.648404
6     0.643972  0.673670  0.627128  0.639628  0.601684  0.639716  0.610195
7     0.614362  0.640071  0.601596  0.597429  0.589007  0.618794  0.593174
8     0.639805  0.648227  0.627128  0.648316  0.601684  0.656826  0.622961
9     0.627216  0.669681  0.618440  0.656649  0.597518  0.631206  0.618706
10    0.635461  0.631206  0.610106  0.648138  0.601773  0.635195  0.631294
mean  0.637178  0.658398  0.622880  0.647469  0.600201  0.641320  0.621003
           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.040806  0.034456  0.635538  3.777476  0.060332  0.048111  0.120871
1     0.048829  0.041821  0.681799  3.902110  0.057062  0.030836  0.104876
2     0.039076  0.034550  0.625232  3.433373  0.061454  0.031981  0.103571
3     0.038930  0.034956  0.630191  3.326244  0.057777  0.031284  0.102585
4     0.038702  0.035138  0.689490  3.309020  0.057410  0.031093  0.102664
5     0.038655  0.034465  0.627587  3.271927  0.058317  0.031117  0.102510
6     0.039128  0.034802  0.625727  3.573831  0.058491  0.031114  0.103872
7     0.038899  0.034254  0.629121  3.550207  0.057709  0.031113  0.101137
8     0.037815  0.035086  0.744289  3.546552  0.058291  0.031311  0.101620
9     0.038860  0.034781  0.625014  3.961222  0.058015  0.030905  0.099448
10    0.039016  0.034458  0.626086  3.287800  0.057763  0.030880  0.100051
mean  0.039883  0.035343  0.649098  3.539978  0.058420  0.032704  0.103928
