           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.592727  0.605640  0.534297  0.652499  0.467477  0.617265  0.507486
1     0.587734  0.631895  0.500880  0.615177  0.449574  0.616900  0.509572
2     0.585067  0.598354  0.520883  0.608010  0.469091  0.598139  0.526503
3     0.580975  0.611160  0.563834  0.625780  0.460741  0.598010  0.528685
4     0.545328  0.614570  0.524429  0.600539  0.450928  0.581109  0.484790
5     0.578191  0.616893  0.547708  0.638907  0.459986  0.626706  0.511198
6     0.600791  0.624635  0.511939  0.630507  0.451555  0.625747  0.508920
7     0.582916  0.640089  0.523043  0.616431  0.468117  0.576910  0.528211
8     0.572292  0.608992  0.506645  0.612154  0.469626  0.600325  0.533328
9     0.582962  0.622296  0.532082  0.613102  0.467421  0.610080  0.510257
10    0.579186  0.590031  0.509004  0.608807  0.468851  0.593054  0.511337
mean  0.580743  0.614960  0.524977  0.620174  0.462124  0.604022  0.514571
           kNN    LinSVC        RF       MLP       MNB       CNB    LogReg
0     0.060390  0.038916  0.697047  5.056783  0.155495  0.156088  0.443387
1     0.053048  0.042168  0.683372  5.119048  0.166951  0.141378  0.424679
2     0.062851  0.039037  0.740987  4.573682  0.179811  0.142369  0.419876
3     0.061209  0.036837  0.683651  4.052619  0.143853  0.142057  0.418430
4     0.091631  0.036733  0.688344  4.777653  0.144058  0.174635  0.447318
5     0.044972  0.036969  0.649140  4.040605  0.143731  0.142118  0.427459
6     0.091489  0.037064  0.649584  4.497762  0.143528  0.141884  0.452851
7     0.072986  0.037809  0.649357  3.991260  0.143601  0.149553  0.479607
8     0.042242  0.036817  0.646377  4.380197  0.142609  0.140688  0.444036
9     0.074306  0.036904  0.646371  4.114885  0.142043  0.141463  0.445232
10    0.073654  0.044093  0.648831  4.251205  0.146957  0.165635  0.448631
mean  0.066253  0.038486  0.671187  4.441427  0.150240  0.148897  0.441046
